data-meta-instanceID,data-HutName,data-OtherHutLocation,data-GasBottle1,data-GasBottle2,data-SleepingBags,data-SleepingBagsHowMany,data-NeedWashing,data-HowManyNeedWashing,data-NeedsSparesBox,data-TickWhatNeeded,data-GearBehind,data-ListGear,data-FlyOut,data-ListFlyOut,data-HutNeedsAnythign,data-HutNeedsList,data-HutNeedsOther,data-KitchenItems,data-OtherKitchen,data-FoodItems,data-OtherFood,data-NeedsFirewood,data-ListFireThings,data-Notes,data-Photo,data-date,data-VolunteerName,
,jennings_biv,,one_quarter,full,two replacments,one,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer pink_triangles lid_screws pencil,yes,,yes,gumboots pindone toilet_paper chilly_bin kitchen_items food_items,,cheese_grater Cupsx2 cloth,,cooking_oil salt pepper suger emergency_food tea_bags,,no_fire,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3A6d4d2119-097a-491c-ad2f-07263aa85e61%5D%2Fimage,Sun Jun 14 00:00:00 UTC 2015,thomas,
,woodrow_biv,,half,empty,one,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer hammer nails lid_screws pencil packing_tape,yes,,yes,gumboots baitstations pindone toilet_paper chilly_bin kitchen_items food_items other,Spade mop,cheese_grater tea_towel cloth dishwashing_liquid,,cooking_oil salt pepper suger emergency_food tea_bags,,no_fire,,,,Mon Jun 15 00:00:00 UTC 2015,thomas,
,top_ettrick_hut,,one_quarter,full,two,,,,no,,,,yes,,yes,kitchen_items,,tea_towel cloth,,,,no,,,,Thu Jul 02 00:00:00 UTC 2015,joel,
,log_cabin,,full,full,two,,,,no,,,,yes,,yes,toilet_paper kitchen_items,,dish_brush,,,,no_fire,,,,Sat Jul 04 00:00:00 UTC 2015,joel,
,waterfall_biv,,none,none,replacments,three,,,no,,,,no,,no,,,,,,,no_fire,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3A366a7bce-7a33-44df-b978-bd8f43109db9%5D%2Fimage,Sun Jul 05 00:00:00 UTC 2015,thomas,
,aurora_point_hut,,none,none,none,,,,no,,,,no,,no,,,,,,,no,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3Afefb4a9a-89a9-45d3-a19d-d8cbb83847c4%5D%2Fimage,Thu Oct 01 00:00:00 UTC 2015,thomas,
,takahe_valley_hut,,half,full,two,,,,no,,,,yes,,yes,other,,,,,,no,,,,Sat Oct 10 00:00:00 UTC 2015,craig,
,top_ettrick_hut,,half,full,two,,,,no,,,,yes,,yes,other,Marker pen. Rebar. Staples.,,,,,no,,,,Sun Oct 11 00:00:00 UTC 2015,joel,
,log_cabin,,full,full,two,,,,list,lid_screws pencil,,,yes,,yes,kitchen_items,,cloth,,,,no_fire,,,,Tue Oct 13 00:00:00 UTC 2015,joel,
,jennings_biv,,half,full,two replacments,one,,,no,,,,no,,yes,gumboots chilly_bin,,,,,,no_fire,,,,Tue Oct 20 00:00:00 UTC 2015,joel,
,woodrow_biv,,half,half,one,,,,no,,,,yes,,yes,gumboots chilly_bin kitchen_items,,dishwashing_liquid,,,,no_fire,,,,Thu Oct 22 00:00:00 UTC 2015,joel,
,wisely_hut,,half,full,two,,,,no,,,,yes,,yes,chilly_bin,,,,,,no_fire,,,,Fri Oct 23 00:00:00 UTC 2015,joel,
,te_au_hut,,half,full,one,,,,yes,,,sponge,yes,,yes,chilly_bin,,,,,,firewood,,,,Sat Oct 24 00:00:00 UTC 2015,joel,
,tentcamp_biv,,half,none,two,,,,no,,,,yes,,yes,other,Another gas bottle,,,,,no_fire,,,,Sat Oct 24 00:00:00 UTC 2015,Norm,
,mckenzie_villa,,half,none,one,,,,yes,,,ratchett 8mm_ratchet_nut 8mm_spanner scrapper sponge scourer hammer pink_triangles nails lid_screws pencil packing_tape,no,,yes,chilly_bin other,Another gas bottle,,,,,firewood,,,,Sat Oct 24 00:00:00 UTC 2015,Norm,
,snag_hut,,three_quarters,none,two,,,,no,,,,yes,,no,,,,,,,no,,,,Fri Oct 30 00:00:00 UTC 2015,joel,
,aurora_point_hut,,three_quarters,full,two,,,,yes,,,sponge,no,,no,,,,,,,no,,,,Sun Nov 01 00:00:00 UTC 2015,joel,
,mystery_biv,,full,none,two,,,,list,lid_screws,,,yes,,no,,,,,,,no no_fire,,,https://murchisonstoat.appspot.com/view/binaryData?blobKey=hut_info_form%5B%40version%3Dnull+and+%40uiVersion%3Dnull%5D%2Fhut_info_form%5B%40key%3Duuid%3Ae1f41023-5f79-4078-902b-bdb1aab43dcf%5D%2Fimage,Sun Apr 05 00:00:00 UTC 2015,Amass,
